Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1578,0,3100.0,3286.196190937884,111.76249999698484,9747.266500002297,262.5652724968314,13.132286187910793,0.0,3100,4000,4600,5000,6000,6600,7100,7300,9700,9700,9700
,Aggregated,1578,0,3100.0,3286.196190937884,111.76249999698484,9747.266500002297,262.5652724968314,13.132286187910793,0.0,3100,4000,4600,5000,6000,6600,7100,7300,9700,9700,9700
