Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1629,0,2700.0,3247.0693160834403,175.60940000112168,17144.7576999999,262.7341927562922,13.593484535067446,0.0,2700,3600,4200,4700,6800,8600,14000,15000,17000,17000,17000
,Aggregated,1629,0,2700.0,3247.0693160834403,175.60940000112168,17144.7576999999,262.7341927562922,13.593484535067446,0.0,2700,3600,4200,4700,6800,8600,14000,15000,17000,17000,17000
