Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785021905,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785021906,10,,Aggregated,0.000000,0.000000,270,270,490,490,720,720,720,720,720,720,720,6,0,250.0,358.3846833316784,180.3405999962706,722.6455999989412,259.5
1785021907,30,,Aggregated,0.000000,0.000000,720,980,1200,1400,1400,1600,1800,1800,1800,1800,1800,22,0,590.0,753.4566909089335,180.3405999962706,1832.3061999981292,261.5
1785021908,40,,Aggregated,5.000000,0.000000,840,1100,1200,1300,1400,1600,1800,1800,1800,1800,1800,39,0,840.0,859.660266666488,180.3405999962706,1832.3061999981292,264.0
1785021909,50,,Aggregated,10.000000,0.000000,1000,1200,1400,1400,1500,1700,1700,1800,1800,1800,1800,58,0,1000.0,988.3217551722392,180.3405999962706,1832.3061999981292,263.58620689655174
1785021910,50,,Aggregated,12.333333,0.000000,1200,1400,1500,1500,1800,1800,2000,2000,2000,2000,2000,76,0,1200.0,1134.542299999674,180.3405999962706,2021.3971999983187,263.35526315789474
1785021911,50,,Aggregated,13.500000,0.000000,1300,1500,1700,1800,2000,2100,2700,2700,2700,2700,2700,90,0,1300.0,1257.5661633331038,180.3405999962706,2667.342300002929,263.03333333333336
1785021912,50,,Aggregated,14.600000,0.000000,1400,1700,1900,2000,2500,2700,2900,3000,3000,3000,3000,108,0,1400.0,1457.7623833330883,180.3405999962706,3036.8422999963514,262.8796296296296
1785021913,50,,Aggregated,14.333333,0.000000,1500,1800,2200,2400,2800,3200,3500,3500,3700,3700,3700,125,0,1500.0,1612.507422399649,180.3405999962706,3713.5611999983666,262.976
1785021914,50,,Aggregated,14.714286,0.000000,1500,2000,2600,2700,3100,3300,3500,3500,3700,3700,3700,144,0,1500.0,1744.2518791663638,180.3405999962706,3713.5611999983666,263.05555555555554
1785021915,50,,Aggregated,15.125000,0.000000,1700,2200,2700,2900,3200,3300,3500,3500,3700,3700,3700,164,0,1700.0,1795.6546012193894,180.3405999962706,3713.5611999983666,263.0609756097561
1785021916,50,,Aggregated,15.555556,0.000000,1700,2200,2700,2900,3200,3400,3500,3600,3700,3700,3700,183,0,1700.0,1826.479823497174,180.3405999962706,3713.5611999983666,263.1256830601093
1785021917,50,,Aggregated,15.900000,0.000000,1800,2400,2800,3000,3200,3400,3700,3900,4000,4000,4000,199,0,1800.0,1879.9320577888634,180.3405999962706,4049.527600000147,262.95477386934675
1785021918,50,,Aggregated,17.400000,0.000000,1800,2500,2900,3000,3300,3500,3700,3800,4000,4000,4000,217,0,1800.0,1910.904025806362,180.3405999962706,4049.527600000147,263.0921658986175
1785021919,50,,Aggregated,17.500000,0.000000,1900,2700,2900,3000,3300,3500,4000,4100,4300,4300,4300,235,0,1900.0,1958.883878297824,180.3405999962706,4292.8730999992695,263.20851063829787
1785021920,50,,Aggregated,17.600000,0.000000,1900,2700,3000,3100,3400,3700,4100,4300,4600,4600,4600,250,0,1900.0,1994.4155743999581,180.3405999962706,4579.261699997005,263.076
1785021921,50,,Aggregated,17.600000,0.000000,2000,2700,3000,3100,3400,3800,4300,4600,5100,5100,5100,263,0,2000.0,2035.4507764258701,180.3405999962706,5051.63889999676,262.9277566539924
1785021922,50,,Aggregated,17.300000,0.000000,2100,2800,3000,3200,3500,4100,4900,5100,5300,5300,5300,279,0,2100.0,2121.5770594982177,176.80879999534227,5345.496900001308,262.9498207885305
1785021923,50,,Aggregated,17.200000,0.000000,2200,2800,3100,3200,3500,4300,4900,5100,5300,5300,5300,297,0,2200.0,2162.3537053871933,176.80879999534227,5345.496900001308,263.030303030303
1785021924,50,,Aggregated,17.100000,0.000000,2200,2900,3100,3200,3700,4500,4800,5100,5300,5300,5300,314,0,2200.0,2200.4517442674705,176.80879999534227,5345.496900001308,263.0127388535032
1785021925,50,,Aggregated,17.300000,0.000000,2200,2900,3100,3200,3800,4400,4800,5100,5300,5300,5300,335,0,2200.0,2206.3894331343818,176.80879999534227,5345.496900001308,262.9522388059701
1785021926,50,,Aggregated,16.800000,0.000000,2200,2900,3100,3300,3800,4300,4600,5100,5300,5300,5300,355,0,2200.0,2217.3832656338923,176.80879999534227,5345.496900001308,262.9661971830986
1785021927,50,,Aggregated,17.000000,0.000000,2200,2900,3200,3300,3900,4300,4600,5100,5300,5300,5300,375,0,2200.0,2233.1060026667355,176.80879999534227,5345.496900001308,262.99733333333336
1785021928,50,,Aggregated,17.000000,0.000000,2200,2900,3100,3300,3800,4200,4600,5100,5300,5300,5300,395,0,2200.0,2220.563245316488,176.80879999534227,5345.496900001308,263.0278481012658
1785021929,50,,Aggregated,17.400000,0.000000,2200,2900,3100,3300,3800,4200,4600,5100,5300,5300,5300,415,0,2200.0,2218.3237701205258,176.80879999534227,5345.496900001308,263.12530120481927
1785021930,50,,Aggregated,17.600000,0.000000,2200,2900,3100,3300,3800,4200,4600,5100,5300,5300,5300,433,0,2200.0,2217.230164203293,176.80879999534227,5345.496900001308,263.1685912240185
1785021931,50,,Aggregated,17.900000,0.000000,2200,2900,3100,3300,3900,4200,4600,5100,5300,5300,5300,447,0,2200.0,2224.5379653244613,176.80879999534227,5345.496900001308,263.11633109619686
1785021932,50,,Aggregated,18.100000,0.000000,2300,2900,3200,3300,3900,4200,4600,5100,5300,5300,5300,466,0,2300.0,2247.9178641631174,176.80879999534227,5345.496900001308,263.1437768240343
1785021933,50,,Aggregated,18.300000,0.000000,2300,3000,3200,3300,3900,4200,4600,5100,5300,5300,5300,482,0,2300.0,2267.101270746876,176.80879999534227,5345.496900001308,263.12655601659753
1785021934,50,,Aggregated,18.700000,0.000000,2400,3000,3200,3400,3900,4200,4600,5100,5300,5300,5300,496,0,2300.0,2285.651639314557,176.80879999534227,5345.496900001308,263.1068548387097
1785021935,50,,Aggregated,18.200000,0.000000,2400,3000,3200,3400,3900,4200,4600,4900,5300,5300,5300,513,0,2400.0,2297.332926120865,176.80879999534227,5345.496900001308,263.1072124756335
